NewID,OldID,Group,Family,Genus,Species,Life form,Leaf form,Site,Ynew,Xnew,Hmax,Hact,Ks,Kl,P50,Ppd,Pmd,TLP,AlAs,WD,Vdia,VD,VLmax,ALT,MAT,MAP,PET,AI,Soiltype,Ecotype,Biome,Note_Biome,
s0044,99,Ang,Cochlospermaceae,Cochlospermum,Cochlospermum gillivraei,T,D,s066,-19.1833,145.75,15,6,7.75,39.82,-1.44,-0.44,-1.41,,0.176,0.3,116.34,10,40,351,22.9,660,1646,0.4046,Nitosol,Einasleigh upland savanna,TRS,,
s0045,100,Ang,Boraginaceae,Cordia,Cordia alliodora,T,D,s105,10.35,-85.35,35,35,9.562828,12.58637,-3.6,-2.133333,-3.158333,,0.778,,50.60953,62,,20,26.6,1828,1787,1.0285,Luvisol,Central American dry forests,TRS,,
s0046,101,Ang,Boraginaceae,Cordia,Cordia alliodora,T,D,s106,10.4167,-84,35,20,8.931734,10.22978,-1.78,-0.125,,,0.891,,53.14687,35,,48,26.1,3981,1586,2.5308,Gleysol,Isthmian-Atlantic moist forests,TRR,,
s0047,102,Ang,Boraginaceae,Cordia,Cordia alliodora,T,D,s096,9.1667,-79.846,35,26,10.995876,9.307695,-3.11,-0.5625,-3.004167,,0.929,,47.15814,71,,44,26.4,2622,1398,1.8755,Acrisol,Isthmian-Atlantic moist forests,TRR,,
s0048,103,Ang,Boraginaceae,Cordia,Cordia collacocca,T,D,s105,10.35,-85.35,15,8,3.71533,4.04829,-2.34,-0.9416667,-1.911111,-2.09,0.897,,55.73397,39,,20,26.6,1828,1787,1.0285,Luvisol,Central American dry forests,TRS,,
s0049,104,Ang,Boraginaceae,Cordia,Cordia cymosa,T,E,s106,10.4167,-84,30,10,7.806903,8.07631,-1.2,-0.2375,,-1.5,1.04,,51.48223,55,,48,26.1,3981,1586,2.5308,Gleysol,Isthmian-Atlantic moist forests,TRR,,
s0050,105,Ang,Boraginaceae,Cordia,Cordia dentata,S,E,s105,10.35,-85.35,10,7,1.504974,2.51484,-3.6,-1.2,-2.122222,-2.14,0.564,,55.68632,21,,20,26.6,1828,1787,1.0285,Luvisol,Central American dry forests,TRS,,
s0051,106,Ang,Boraginaceae,Cordia,Cordia inermis,T,D,s105,10.35,-85.35,5,3,1.842397,2.48493,,,-1.15,,0.759,,36.24047,41,,20,26.6,1828,1787,1.0285,Luvisol,Central American dry forests,TRS,,
s0052,107,Ang,Boraginaceae,Cordia,Cordia lasiocalyx,T,E,s096,9.1667,-79.846,10,6,3.764341,1.91891,-2.57,-0.5525,-1.0125,-1.63,1.49,,55.15418,37,,44,26.4,2622,1398,1.8755,Acrisol,Isthmian-Atlantic moist forests,TRR,,
s0053,108,Ang,Boraginaceae,Cordia,Cordia lucidula,T,E,s106,10.4167,-84,10,6,3.323463,2.88741,-1.58,-0.2875,,-1.4,1.83,,47.81108,23,,48,26.1,3981,1586,2.5308,Gleysol,Isthmian-Atlantic moist forests,TRR,,
